norm,player,pick,year
travis leslie,Travis Leslie,47,2011
keith benson,Keith Benson,48,2011
josh selby,Josh Selby,49,2011
lavoy allen,Lavoy Allen,50,2011
jon diebler,Jon Diebler,51,2011
vernon macklin,Vernon Macklin,52,2011
deandre liggins,DeAndre Liggins,53,2011
milan macvan,Milan Mačvan,54,2011
etwaun moore,E'Twaun Moore,55,2011
chukwudiebere maduabum,Chukwudiebere Maduabum,56,2011
tanguy ngombo,Tanguy Ngombo,57,2011
ater majok,Ater Majok,58,2011
adam hanga,Ádám Hanga,59,2011
isaiah thomas,Isaiah Thomas,60,2011
anthony davis,Anthony Davis,1,2012
michael kiddgilchrist,Michael Kidd-Gilchrist,2,2012
bradley beal,Bradley Beal,3,2012
dion waiters,Dion Waiters,4,2012
thomas robinson,Thomas Robinson,5,2012
damian lillard,Damian Lillard,6,2012
harrison barnes,Harrison Barnes,7,2012
terrence ross,Terrence Ross,8,2012
andre drummond,Andre Drummond,9,2012
austin rivers,Austin Rivers,10,2012
meyers leonard,Meyers Leonard,11,2012
jeremy lamb,Jeremy Lamb,12,2012
kendall marshall,Kendall Marshall,13,2012
john henson,John Henson,14,2012
maurice harkless,Maurice Harkless,15,2012
royce white,Royce White,16,2012
tyler zeller,Tyler Zeller,17,2012
terrence jones,Terrence Jones,18,2012
andrew nicholson,Andrew Nicholson,19,2012
evan fournier,Evan Fournier,20,2012
jared sullinger,Jared Sullinger,21,2012
fab melo,Fab Melo,22,2012
john jenkins,John Jenkins,23,2012
jared cunningham,Jared Cunningham,24,2012
tony wroten,Tony Wroten,25,2012
miles plumlee,Miles Plumlee,26,2012
arnett moultrie,Arnett Moultrie,27,2012
perry jones,Perry Jones,28,2012
marquis teague,Marquis Teague,29,2012
festus ezeli,Festus Ezeli,30,2012
jeff taylor,Jeff Taylor,31,2012
tomas satoransky,Tomáš Satoranský,32,2012
bernard james,Bernard James,33,2012
jae crowder,Jae Crowder,34,2012
draymond green,Draymond Green,35,2012
orlando johnson,Orlando Johnson,36,2012
quincy acy,Quincy Acy,37,2012
quincy miller,Quincy Miller,38,2012
khris middleton,Khris Middleton,39,2012
will barton,Will Barton,40,2012
tyshawn taylor,Tyshawn Taylor,41,2012
doron lamb,Doron Lamb,42,2012
mike scott,Mike Scott,43,2012
kim english,Kim English,44,2012
justin hamilton,Justin Hamilton,45,2012
darius miller,Darius Miller,46,2012
kevin murphy,Kevin Murphy,47,2012
kostas papanikolaou,Kostas Papanikolaou,48,2012
kyle oquinn,Kyle O'Quinn,49,2012
izzet turkylmaz,İzzet Türkyılmaz,50,2012
kris joseph,Kris Joseph,51,2012
ognjen kuzmic,Ognjen Kuzmić,52,2012
furkan aldemir,Furkan Aldemir,53,2012
tornike shengelia,Tornike Shengelia,54,2012
darius johnsonodom,Darius Johnson-Odom,55,2012
tomislav zubcic,Tomislav Zubčić,56,2012
ilkan karaman,İlkan Karaman,57,2012
robbie hummel,Robbie Hummel,58,2012
marcus denmon,Marcus Denmon,59,2012
robert sacre,Robert Sacre,60,2012
anthony bennett,Anthony Bennett,1,2013
victor oladipo,Victor Oladipo,2,2013
otto porter,Otto Porter Jr.,3,2013
cody zeller,Cody Zeller,4,2013
alex len,Alex Len,5,2013
nerlens noel,Nerlens Noel,6,2013
ben mclemore,Ben McLemore,7,2013
kentavious caldwellpope,Kentavious Caldwell-Pope,8,2013
trey burke,Trey Burke,9,2013
cj mccollum,CJ McCollum,10,2013
michael carterwilliams,Michael Carter-Williams,11,2013
steven adams,Steven Adams,12,2013
kelly olynyk,Kelly Olynyk,13,2013
shabazz muhammad,Shabazz Muhammad,14,2013
giannis antetokounmpo,Giannis Antetokounmpo,15,2013
lucas nogueira,Lucas Nogueira,16,2013
dennis schroder,Dennis Schröder,17,2013
shane larkin,Shane Larkin,18,2013
sergey karasev,Sergey Karasev,19,2013
tony snell,Tony Snell,20,2013
gorgui dieng,Gorgui Dieng,21,2013
mason plumlee,Mason Plumlee,22,2013
solomon hill,Solomon Hill,23,2013
tim hardaway,Tim Hardaway Jr.,24,2013
reggie bullock,Reggie Bullock,25,2013
andre roberson,Andre Roberson,26,2013
rudy gobert,Rudy Gobert,27,2013
livio jeancharles,Livio Jean-Charles,28,2013
archie goodwin,Archie Goodwin,29,2013
nemanja nedovic,Nemanja Nedović,30,2013
allen crabbe,Allen Crabbe,31,2013
alex abrines,Álex Abrines,32,2013
carrick felix,Carrick Felix,33,2013
isaiah canaan,Isaiah Canaan,34,2013
glen rice,Glen Rice Jr.,35,2013
ray mccallum,Ray McCallum,36,2013
tony mitchell,Tony Mitchell,37,2013
nate wolters,Nate Wolters,38,2013
jeff withey,Jeff Withey,39,2013
grant jerrett,Grant Jerrett,40,2013
jamaal franklin,Jamaal Franklin,41,2013
pierre jackson,Pierre Jackson,42,2013
ricky ledo,Ricky Ledo,43,2013
mike muscala,Mike Muscala,44,2013
marko todorovic,Marko Todorović,45,2013
erick green,Erick Green,46,2013
raul neto,Raul Neto,47,2013
ryan kelly,Ryan Kelly,48,2013
erik murphy,Erik Murphy,49,2013
james ennis,James Ennis III,50,2013
romero osby,Romero Osby,51,2013
lorenzo brown,Lorenzo Brown,52,2013
colton iverson,Colton Iverson,53,2013
arsalan kazemi,Arsalan Kazemi,54,2013
joffrey lauvergne,Joffrey Lauvergne,55,2013
peyton siva,Peyton Siva,56,2013
alex oriakhi,Alex Oriakhi,57,2013
deshaun thomas,Deshaun Thomas,58,2013
bojan dubljevic,Bojan Dubljević,59,2013
janis timma,Jānis Timma,60,2013
andrew wiggins,Andrew Wiggins,1,2014
jabari parker,Jabari Parker,2,2014
joel embiid,Joel Embiid,3,2014
aaron gordon,Aaron Gordon,4,2014
dante exum,Danté Exum,5,2014
marcus smart,Marcus Smart,6,2014
julius randle,Julius Randle,7,2014
nik stauskas,Nik Stauskas,8,2014
noah vonleh,Noah Vonleh,9,2014
elfrid payton,Elfrid Payton,10,2014
doug mcdermott,Doug McDermott,11,2014
dario saric,Dario Šarić,12,2014
zach lavine,Zach LaVine,13,2014
tj warren,T.J. Warren,14,2014
adreian payne,Adreian Payne,15,2014
jusuf nurkic,Jusuf Nurkić,16,2014
james young,James Young,17,2014
tyler ennis,Tyler Ennis,18,2014
gary harris,Gary Harris,19,2014
bruno caboclo,Bruno Caboclo,20,2014
mitch mcgary,Mitch McGary,21,2014
jordan adams,Jordan Adams,22,2014
rodney hood,Rodney Hood,23,2014
shabazz napier,Shabazz Napier,24,2014
clint capela,Clint Capela,25,2014
pj hairston,P.J. Hairston,26,2014
bogdan bogdanovic,Bogdan Bogdanović,27,2014
cj wilcox,C.J. Wilcox,28,2014
josh huestis,Josh Huestis,29,2014
kyle anderson,Kyle Anderson,30,2014
damien inglis,Damien Inglis,31,2014
kj mcdaniels,K.J. McDaniels,32,2014
joe harris,Joe Harris,33,2014
cleanthony early,Cleanthony Early,34,2014
jarnell stokes,Jarnell Stokes,35,2014
johnny obryant,Johnny O'Bryant,36,2014
deandre daniels,DeAndre Daniels,37,2014
spencer dinwiddie,Spencer Dinwiddie,38,2014
jerami grant,Jerami Grant,39,2014
glenn robinson,Glenn Robinson III,40,2014
nikola jokic,Nikola Jokić,41,2014
nick johnson,Nick Johnson,42,2014
edy tavares,Edy Tavares,43,2014
markel brown,Markel Brown,44,2014
dwight powell,Dwight Powell,45,2014
jordan clarkson,Jordan Clarkson,46,2014
russ smith,Russ Smith,47,2014
lamar patterson,Lamar Patterson,48,2014
cameron bairstow,Cameron Bairstow,49,2014
alec brown,Alec Brown,50,2014
thanasis antetokounmpo,Thanasis Antetokounmpo,51,2014
vasilije micic,Vasilije Micić,52,2014
alessandro gentile,Alessandro Gentile,53,2014
nemanja dangubic,Nemanja Dangubić,54,2014
semaj christon,Semaj Christon,55,2014
devyn marble,Devyn Marble,56,2014
louis labeyrie,Louis Labeyrie,57,2014
jordan mcrae,Jordan McRae,58,2014
xavier thames,Xavier Thames,59,2014
cory jefferson,Cory Jefferson,60,2014
karlanthony towns,Karl-Anthony Towns,1,2015
dangelo russell,D'Angelo Russell,2,2015
jahlil okafor,Jahlil Okafor,3,2015
kristaps porzingis,Kristaps Porziņģis,4,2015
mario hezonja,Mario Hezonja,5,2015
willie cauleystein,Willie Cauley-Stein,6,2015
emmanuel mudiay,Emmanuel Mudiay,7,2015
stanley johnson,Stanley Johnson,8,2015
frank kaminsky,Frank Kaminsky,9,2015
justise winslow,Justise Winslow,10,2015
myles turner,Myles Turner,11,2015
trey lyles,Trey Lyles,12,2015
devin booker,Devin Booker,13,2015
cameron payne,Cameron Payne,14,2015
kelly oubre,Kelly Oubre Jr.,15,2015
terry rozier,Terry Rozier,16,2015
rashad vaughn,Rashad Vaughn,17,2015
sam dekker,Sam Dekker,18,2015
jerian grant,Jerian Grant,19,2015
delon wright,Delon Wright,20,2015
justin anderson,Justin Anderson,21,2015
bobby portis,Bobby Portis,22,2015
rondae hollisjefferson,Rondae Hollis-Jefferson,23,2015
tyus jones,Tyus Jones,24,2015
jarell martin,Jarell Martin,25,2015
nikola milutinov,Nikola Milutinov,26,2015
larry nance,Larry Nance Jr.,27,2015
rj hunter,R.J. Hunter,28,2015
chris mccullough,Chris McCullough,29,2015
kevon looney,Kevon Looney,30,2015
cedi osman,Cedi Osman,31,2015
montrezl harrell,Montrezl Harrell,32,2015
jordan mickey,Jordan Mickey,33,2015
anthony brown,Anthony Brown,34,2015
willy hernangomez,Willy Hernangómez,35,2015
rakeem christmas,Rakeem Christmas,36,2015
richaun holmes,Richaun Holmes,37,2015
darrun hilliard,Darrun Hilliard,38,2015
juan pablo vaulet,Juan Pablo Vaulet,39,2015
josh richardson,Josh Richardson,40,2015
pat connaughton,Pat Connaughton,41,2015
olivier hanlan,Olivier Hanlan,42,2015
joe young,Joe Young,43,2015
andrew harrison,Andrew Harrison,44,2015
norman powell,Norman Powell,46,2015
arturas gudaitis,Artūras Gudaitis,47,2015
dakari johnson,Dakari Johnson,48,2015
aaron white,Aaron White,49,2015
marcus eriksson,Marcus Eriksson,50,2015
tyler harvey,Tyler Harvey,51,2015
satnam singh,Satnam Singh,52,2015
sirdominic pointer,Sir'Dominic Pointer,53,2015
dani diez,Dani Díez,54,2015
cady lalanne,Cady Lalanne,55,2015
branden dawson,Branden Dawson,56,2015
nikola radicevic,Nikola Radičević,57,2015
jp tokoto,J.P. Tokoto,58,2015
dimitrios agravanis,Dimitrios Agravanis,59,2015
luka mitrovic,Luka Mitrović,60,2015
ben simmons,Ben Simmons,1,2016
brandon ingram,Brandon Ingram,2,2016
jaylen brown,Jaylen Brown,3,2016
dragan bender,Dragan Bender,4,2016
kris dunn,Kris Dunn,5,2016
buddy hield,Buddy Hield,6,2016
jamal murray,Jamal Murray,7,2016
marquese chriss,Marquese Chriss,8,2016
jakob poeltl,Jakob Poeltl,9,2016
thon maker,Thon Maker,10,2016
domantas sabonis,Domantas Sabonis,11,2016
taurean prince,Taurean Prince,12,2016
georgios papagiannis,Georgios Papagiannis,13,2016
denzel valentine,Denzel Valentine,14,2016
juancho hernangomez,Juancho Hernangómez,15,2016
guerschon yabusele,Guerschon Yabusele,16,2016
wade baldwin,Wade Baldwin,17,2016
henry ellenson,Henry Ellenson,18,2016
malik beasley,Malik Beasley,19,2016
caris levert,Caris LeVert,20,2016
deandre bembry,DeAndre' Bembry,21,2016
malachi richardson,Malachi Richardson,22,2016
ante zizic,Ante Žižić,23,2016
timothe luwawucabarrot,Timothé Luwawu-Cabarrot,24,2016
brice johnson,Brice Johnson,25,2016
furkan korkmaz,Furkan Korkmaz,26,2016
pascal siakam,Pascal Siakam,27,2016
skal labissiere,Skal Labissière,28,2016
dejounte murray,Dejounte Murray,29,2016
damian jones,Damian Jones,30,2016
deyonta davis,Deyonta Davis,31,2016
ivica zubac,Ivica Zubac,32,2016
cheick diallo,Cheick Diallo,33,2016
tyler ulis,Tyler Ulis,34,2016
rade zagorac,Rade Zagorac,35,2016
malcolm brogdon,Malcolm Brogdon,36,2016
chinanu onuaku,Chinanu Onuaku,37,2016
patrick mccaw,Patrick McCaw,38,2016
david michineau,David Michineau,39,2016
diamond stone,Diamond Stone,40,2016
stephen zimmerman,Stephen Zimmerman,41,2016
isaiah whitehead,Isaiah Whitehead,42,2016
zhou qi,Zhou Qi,43,2016
isaia cordinier,Isaïa Cordinier,44,2016
demetrius jackson,Demetrius Jackson,45,2016
aj hammons,A.J. Hammons,46,2016
jake layman,Jake Layman,47,2016
paul zipser,Paul Zipser,48,2016
michael gbinije,Michael Gbinije,49,2016
georges niang,Georges Niang,50,2016
ben bentil,Ben Bentil,51,2016
joel bolomboy,Joel Bolomboy,52,2016
petr cornelie,Petr Cornelie,53,2016
kay felder,Kay Felder,54,2016
marcus paige,Marcus Paige,55,2016
daniel hamilton,Daniel Hamilton,56,2016
wang zhelin,Wang Zhelin,57,2016
abdel nader,Abdel Nader,58,2016
isaiah cousins,Isaiah Cousins,59,2016
tyrone wallace,Tyrone Wallace,60,2016
markelle fultz,Markelle Fultz,1,2017
lonzo ball,Lonzo Ball,2,2017
jayson tatum,Jayson Tatum,3,2017
josh jackson,Josh Jackson,4,2017
deaaron fox,De'Aaron Fox,5,2017
jonathan isaac,Jonathan Isaac,6,2017
lauri markkanen,Lauri Markkanen,7,2017
frank ntilikina,Frank Ntilikina,8,2017
dennis smith,Dennis Smith Jr.,9,2017
zach collins,Zach Collins,10,2017
malik monk,Malik Monk,11,2017
luke kennard,Luke Kennard,12,2017
donovan mitchell,Donovan Mitchell,13,2017
bam adebayo,Bam Adebayo,14,2017
justin jackson,Justin Jackson,15,2017
justin patton,Justin Patton,16,2017
dj wilson,D.J. Wilson,17,2017
tj leaf,T.J. Leaf,18,2017
john collins,John Collins,19,2017
harry giles,Harry Giles,20,2017
terrance ferguson,Terrance Ferguson,21,2017
jarrett allen,Jarrett Allen,22,2017
og anunoby,OG Anunoby,23,2017
tyler lydon,Tyler Lydon,24,2017
anzejs pasecniks,Anžejs Pasečņiks,25,2017
caleb swanigan,Caleb Swanigan,26,2017
kyle kuzma,Kyle Kuzma,27,2017
tony bradley,Tony Bradley,28,2017
derrick white,Derrick White,29,2017
josh hart,Josh Hart,30,2017
frank jackson,Frank Jackson,31,2017
davon reed,Davon Reed,32,2017
wes iwundu,Wes Iwundu,33,2017
frank mason,Frank Mason III,34,2017
ivan rabb,Ivan Rabb,35,2017
jonah bolden,Jonah Bolden,36,2017
semi ojeleye,Semi Ojeleye,37,2017
jordan bell,Jordan Bell,38,2017
jawun evans,Jawun Evans,39,2017
dwayne bacon,Dwayne Bacon,40,2017
tyler dorsey,Tyler Dorsey,41,2017
thomas bryant,Thomas Bryant,42,2017
isaiah hartenstein,Isaiah Hartenstein,43,2017
damyean dotson,Damyean Dotson,44,2017
dillon brooks,Dillon Brooks,45,2017
sterling brown,Sterling Brown,46,2017
ike anigbogu,Ike Anigbogu,47,2017
sindarius thornwell,Sindarius Thornwell,48,2017
vlatko cancar,Vlatko Čančar,49,2017
mathias lessort,Mathias Lessort,50,2017
monte morris,Monte Morris,51,2017
edmond sumner,Edmond Sumner,52,2017
kadeem allen,Kadeem Allen,53,2017
alec peters,Alec Peters,54,2017
nigel williamsgoss,Nigel Williams-Goss,55,2017
jabari bird,Jabari Bird,56,2017
sasha vezenkov,Sasha Vezenkov,57,2017
ognjen jaramaz,Ognjen Jaramaz,58,2017
jaron blossomgame,Jaron Blossomgame,59,2017
alpha kaba,Alpha Kaba,60,2017
deandre ayton,Deandre Ayton,1,2018
marvin bagley,Marvin Bagley III,2,2018
luka doncic,Luka Dončić,3,2018
jaren jackson,Jaren Jackson Jr.,4,2018
trae young,Trae Young,5,2018
mo bamba,Mo Bamba,6,2018
wendell carter,Wendell Carter Jr.,7,2018
collin sexton,Collin Sexton,8,2018
kevin knox,Kevin Knox,9,2018
mikal bridges,Mikal Bridges,10,2018
shai gilgeousalexander,Shai Gilgeous-Alexander,11,2018
miles bridges,Miles Bridges,12,2018
jerome robinson,Jerome Robinson,13,2018
michael porter,Michael Porter Jr.,14,2018
troy brown,Troy Brown Jr.,15,2018
zhaire smith,Zhaire Smith,16,2018
donte divincenzo,Donte DiVincenzo,17,2018
lonnie walker,Lonnie Walker IV,18,2018
kevin huerter,Kevin Huerter,19,2018
josh okogie,Josh Okogie,20,2018
grayson allen,Grayson Allen,21,2018
chandler hutchison,Chandler Hutchison,22,2018
aaron holiday,Aaron Holiday,23,2018
anfernee simons,Anfernee Simons,24,2018
moritz wagner,Moritz Wagner,25,2018
landry shamet,Landry Shamet,26,2018
robert williams,Robert Williams,27,2018
jacob evans,Jacob Evans,28,2018
dzanan musa,Džanan Musa,29,2018
omari spellman,Omari Spellman,30,2018
elie okobo,Elie Okobo,31,2018
jevon carter,Jevon Carter,32,2018
jalen brunson,Jalen Brunson,33,2018
devonte graham,Devonte' Graham,34,2018
melvin frazier,Melvin Frazier,35,2018
mitchell robinson,Mitchell Robinson,36,2018
gary trent,Gary Trent Jr.,37,2018
khyri thomas,Khyri Thomas,38,2018
isaac bonga,Isaac Bonga,39,2018
rodions kurucs,Rodions Kurucs,40,2018
jarred vanderbilt,Jarred Vanderbilt,41,2018
bruce brown,Bruce Brown,42,2018
issuf sanon,Issuf Sanon,44,2018
hamidou diallo,Hamidou Diallo,45,2018
deanthony melton,De'Anthony Melton,46,2018
svi mykhailiuk,Svi Mykhailiuk,47,2018
keita batesdiop,Keita Bates-Diop,48,2018
chimezie metu,Chimezie Metu,49,2018
alize johnson,Alize Johnson,50,2018
tony carr,Tony Carr,51,2018
vince edwards,Vince Edwards,52,2018
devon hall,Devon Hall,53,2018
shake milton,Shake Milton,54,2018
arnoldas kulboka,Arnoldas Kulboka,55,2018
ray spalding,Ray Spalding,56,2018
kevin hervey,Kevin Hervey,57,2018
thomas welsh,Thomas Welsh,58,2018
george king,George King,59,2018
kostas antetokounmpo,Kostas Antetokounmpo,60,2018
zion williamson,Zion Williamson,1,2019
ja morant,Ja Morant,2,2019
rj barrett,RJ Barrett,3,2019
deandre hunter,De'Andre Hunter,4,2019
darius garland,Darius Garland,5,2019
jarrett culver,Jarrett Culver,6,2019
coby white,Coby White,7,2019
jaxson hayes,Jaxson Hayes,8,2019
rui hachimura,Rui Hachimura,9,2019
cam reddish,Cam Reddish,10,2019
cameron johnson,Cameron Johnson,11,2019
pj washington,P.J. Washington,12,2019
tyler herro,Tyler Herro,13,2019
romeo langford,Romeo Langford,14,2019
sekou doumbouya,Sekou Doumbouya,15,2019
chuma okeke,Chuma Okeke,16,2019
nickeil alexanderwalker,Nickeil Alexander-Walker,17,2019
goga bitadze,Goga Bitadze,18,2019
luka samanic,Luka Šamanić,19,2019
matisse thybulle,Matisse Thybulle,20,2019
brandon clarke,Brandon Clarke,21,2019
grant williams,Grant Williams,22,2019
darius bazley,Darius Bazley,23,2019
ty jerome,Ty Jerome,24,2019
nassir little,Nassir Little,25,2019
dylan windler,Dylan Windler,26,2019
mfiondu kabengele,Mfiondu Kabengele,27,2019
jordan poole,Jordan Poole,28,2019
keldon johnson,Keldon Johnson,29,2019
kevin porter,Kevin Porter Jr.,30,2019
nic claxton,Nic Claxton,31,2019
kz okpala,KZ Okpala,32,2019
carsen edwards,Carsen Edwards,33,2019
bruno fernando,Bruno Fernando,34,2019
didi louzada,Didi Louzada,35,2019
cody martin,Cody Martin,36,2019
deividas sirvydis,Deividas Sirvydis,37,2019
daniel gafford,Daniel Gafford,38,2019
alen smailagic,Alen Smailagić,39,2019
justin james,Justin James,40,2019
eric paschall,Eric Paschall,41,2019
admiral schofield,Admiral Schofield,42,2019
jaylen nowell,Jaylen Nowell,43,2019
bol bol,Bol Bol,44,2019
isaiah roby,Isaiah Roby,45,2019
talen hortontucker,Talen Horton-Tucker,46,2019
ignas brazdeikis,Ignas Brazdeikis,47,2019
terance mann,Terance Mann,48,2019
quinndary weatherspoon,Quinndary Weatherspoon,49,2019
jarrell brantley,Jarrell Brantley,50,2019
tremont waters,Tremont Waters,51,2019
jalen mcdaniels,Jalen McDaniels,52,2019
justin wrightforeman,Justin Wright-Foreman,53,2019
marial shayok,Marial Shayok,54,2019
kyle guy,Kyle Guy,55,2019
jaylen hands,Jaylen Hands,56,2019
jordan bone,Jordan Bone,57,2019
miye oni,Miye Oni,58,2019
dewan hernandez,Dewan Hernandez,59,2019
vanja marinkovic,Vanja Marinković,60,2019
anthony edwards,Anthony Edwards,1,2020
james wiseman,James Wiseman,2,2020
lamelo ball,LaMelo Ball,3,2020
patrick williams,Patrick Williams,4,2020
isaac okoro,Isaac Okoro,5,2020
onyeka okongwu,Onyeka Okongwu,6,2020
killian hayes,Killian Hayes,7,2020
obi toppin,Obi Toppin,8,2020
deni avdija,Deni Avdija,9,2020
jalen smith,Jalen Smith,10,2020
devin vassell,Devin Vassell,11,2020
tyrese haliburton,Tyrese Haliburton,12,2020
kira lewis,Kira Lewis Jr.,13,2020
aaron nesmith,Aaron Nesmith,14,2020
cole anthony,Cole Anthony,15,2020
isaiah stewart,Isaiah Stewart,16,2020
aleksej pokusevski,Aleksej Pokusevski,17,2020
josh green,Josh Green,18,2020
saddiq bey,Saddiq Bey,19,2020
precious achiuwa,Precious Achiuwa,20,2020
tyrese maxey,Tyrese Maxey,21,2020
zeke nnaji,Zeke Nnaji,22,2020
leandro bolmaro,Leandro Bolmaro,23,2020
rj hampton,R.J. Hampton,24,2020
immanuel quickley,Immanuel Quickley,25,2020
payton pritchard,Payton Pritchard,26,2020
udoka azubuike,Udoka Azubuike,27,2020
jaden mcdaniels,Jaden McDaniels,28,2020
malachi flynn,Malachi Flynn,29,2020
desmond bane,Desmond Bane,30,2020
tyrell terry,Tyrell Terry,31,2020
vernon carey,Vernon Carey Jr.,32,2020
daniel oturu,Daniel Oturu,33,2020
theo maledon,Théo Maledon,34,2020
xavier tillman,Xavier Tillman Sr.,35,2020
tyler bey,Tyler Bey,36,2020
vit krejci,Vít Krejčí,37,2020
saben lee,Saben Lee,38,2020
elijah hughes,Elijah Hughes,39,2020
robert woodard,Robert Woodard II,40,2020
tre jones,Tre Jones,41,2020
nick richards,Nick Richards,42,2020
jahmius ramsey,Jahmi'us Ramsey,43,2020
marko simonovic,Marko Simonovic,44,2020
jordan nwora,Jordan Nwora,45,2020
cj elleby,CJ Elleby,46,2020
yam madar,Yam Madar,47,2020
nico mannion,Nico Mannion,48,2020
isaiah joe,Isaiah Joe,49,2020
skylar mays,Skylar Mays,50,2020
justinian jessup,Justinian Jessup,51,2020
kj martin,KJ Martin,52,2020
cassius winston,Cassius Winston,53,2020
cassius stanley,Cassius Stanley,54,2020
jay scrubb,Jay Scrubb,55,2020
grant riller,Grant Riller,56,2020
reggie perry,Reggie Perry,57,2020
paul reed,Paul Reed,58,2020
jalen harris,Jalen Harris,59,2020
sam merrill,Sam Merrill,60,2020
cade cunningham,Cade Cunningham,1,2021
jalen green,Jalen Green,2,2021
evan mobley,Evan Mobley,3,2021
scottie barnes,Scottie Barnes,4,2021
jalen suggs,Jalen Suggs,5,2021
josh giddey,Josh Giddey,6,2021
jonathan kuminga,Jonathan Kuminga,7,2021
franz wagner,Franz Wagner,8,2021
davion mitchell,Davion Mitchell,9,2021
ziaire williams,Ziaire Williams,10,2021
james bouknight,James Bouknight,11,2021
joshua primo,Joshua Primo,12,2021
chris duarte,Chris Duarte,13,2021
moses moody,Moses Moody,14,2021
corey kispert,Corey Kispert,15,2021
alperen sengun,Alperen Şengün,16,2021
trey murphy,Trey Murphy III,17,2021
tre mann,Tre Mann,18,2021
kai jones,Kai Jones,19,2021
jalen johnson,Jalen Johnson,20,2021
keon johnson,Keon Johnson,21,2021
isaiah jackson,Isaiah Jackson,22,2021
usman garuba,Usman Garuba,23,2021
josh christopher,Josh Christopher,24,2021
quentin grimes,Quentin Grimes,25,2021
bones hyland,Bones Hyland,26,2021
cam thomas,Cam Thomas,27,2021
jaden springer,Jaden Springer,28,2021
dayron sharpe,Day'Ron Sharpe,29,2021
santi aldama,Santi Aldama,30,2021
isaiah todd,Isaiah Todd,31,2021
jeremiah robinsonearl,Jeremiah Robinson-Earl,32,2021
jason preston,Jason Preston,33,2021
rokas jokubaitis,Rokas Jokubaitis,34,2021
herbert jones,Herbert Jones,35,2021
miles mcbride,Miles McBride,36,2021
jt thor,JT Thor,37,2021
ayo dosunmu,Ayo Dosunmu,38,2021
neemias queta,Neemias Queta,39,2021
jared butler,Jared Butler,40,2021
joe wieskamp,Joe Wieskamp,41,2021
isaiah livers,Isaiah Livers,42,2021
greg brown,Greg Brown III,43,2021
kessler edwards,Kessler Edwards,44,2021
juhann begarin,Juhann Begarin,45,2021
dalano banton,Dalano Banton,46,2021
david johnson,David Johnson,47,2021
sharife cooper,Sharife Cooper,48,2021
marcus zegarowski,Marcus Zegarowski,49,2021
filip petrusev,Filip Petrušev,50,2021
brandon boston,Brandon Boston Jr.,51,2021
luka garza,Luka Garza,52,2021
charles bassey,Charles Bassey,53,2021
sandro mamukelashvili,Sandro Mamukelashvili,54,2021
aaron wiggins,Aaron Wiggins,55,2021
scottie lewis,Scottie Lewis,56,2021
balsa koprivica,Balša Koprivica,57,2021
jericho sims,Jericho Sims,58,2021
raiquan gray,RaiQuan Gray,59,2021
georgios kalaitzakis,Georgios Kalaitzakis,60,2021
paolo banchero,Paolo Banchero,1,2022
chet holmgren,Chet Holmgren,2,2022
keegan murray,Keegan Murray,4,2022
jaden ivey,Jaden Ivey,5,2022
bennedict mathurin,Bennedict Mathurin,6,2022
shaedon sharpe,Shaedon Sharpe,7,2022
dyson daniels,Dyson Daniels,8,2022
jeremy sochan,Jeremy Sochan,9,2022
johnny davis,Johnny Davis,10,2022
ousmane dieng,Ousmane Dieng,11,2022
jalen williams,Jalen Williams,12,2022
jalen duren,Jalen Duren,13,2022
ochai agbaji,Ochai Agbaji,14,2022
mark williams,Mark Williams,15,2022
aj griffin,AJ Griffin,16,2022
tari eason,Tari Eason,17,2022
dalen terry,Dalen Terry,18,2022
jake laravia,Jake LaRavia,19,2022
malaki branham,Malaki Branham,20,2022
christian braun,Christian Braun,21,2022
walker kessler,Walker Kessler,22,2022
david roddy,David Roddy,23,2022
marjon beauchamp,MarJon Beauchamp,24,2022
blake wesley,Blake Wesley,25,2022
wendell moore,Wendell Moore Jr.,26,2022
nikola jovic,Nikola Jović,27,2022
patrick baldwin,Patrick Baldwin Jr.,28,2022
tyty washington,TyTy Washington Jr.,29,2022
peyton watson,Peyton Watson,30,2022
andrew nembhard,Andrew Nembhard,31,2022
caleb houstan,Caleb Houstan,32,2022
christian koloko,Christian Koloko,33,2022
jaylin williams,Jaylin Williams,34,2022
max christie,Max Christie,35,2022
gabriele procida,Gabriele Procida,36,2022
jaden hardy,Jaden Hardy,37,2022
kennedy chandler,Kennedy Chandler,38,2022
khalifa diop,Khalifa Diop,39,2022
bryce mcgowens,Bryce McGowens,40,2022
ej liddell,E.J. Liddell,41,2022
trevor keels,Trevor Keels,42,2022
moussa diabate,Moussa Diabaté,43,2022
ryan rollins,Ryan Rollins,44,2022
josh minott,Josh Minott,45,2022
ismael kamagate,Ismael Kamagate,46,2022
vince williams,Vince Williams Jr.,47,2022
kendall brown,Kendall Brown,48,2022
isaiah mobley,Isaiah Mobley,49,2022
matteo spagnolo,Matteo Spagnolo,50,2022
tyrese martin,Tyrese Martin,51,2022
karlo matkovic,Karlo Matković,52,2022
jd davison,JD Davison,53,2022
yannick nzosa,Yannick Nzosa,54,2022
gui santos,Gui Santos,55,2022
luke travers,Luke Travers,56,2022
jabari walker,Jabari Walker,57,2022
hugo besson,Hugo Besson,58,2022
victor wembanyama,Victor Wembanyama,1,2023
brandon miller,Brandon Miller,2,2023
scoot henderson,Scoot Henderson,3,2023
amen thompson,Amen Thompson,4,2023
