RK,NAME,TEAM,SALARY,PLAYER,SALARY_NUM
347,"Jaden Springer, G",New Orleans Pelicans,"$2,349,578",Jaden Springer,2349578
348,"Neemias Queta, C",Boston Celtics,"$2,349,578",Neemias Queta,2349578
349,"Vince Williams Jr., G",Utah Jazz,"$2,301,587",Vince Williams Jr.,2301587
350,"AJ Green, G",Milwaukee Bucks,"$2,301,587",AJ Green,2301587
351,"Keon Ellis, G",Cleveland Cavaliers,"$2,301,587",Keon Ellis,2301587
352,"Sion James, G",Charlotte Hornets,"$2,296,274",Sion James,2296274
353,"Ryan Kalkbrenner, C",Charlotte Hornets,"$2,296,274",Ryan Kalkbrenner,2296274
354,"Spencer Dinwiddie, PG",Charlotte Hornets,"$2,296,274",Spencer Dinwiddie,2296274
355,"Garrett Temple, G",Toronto Raptors,"$2,296,274",Garrett Temple,2296274
356,"Chris Paul, G",LA Clippers,"$2,296,274",Chris Paul,2296274
357,"Dante Exum, G",Washington Wizards,"$2,296,274",Dante Exum,2296274
358,"Chris Boucher, F",Boston Celtics,"$2,296,274",Chris Boucher,2296274
359,"Lindy Waters III, F",San Antonio Spurs,"$2,296,274",Lindy Waters III,2296274
360,"Jordan McLaughlin, G",San Antonio Spurs,"$2,296,274",Jordan McLaughlin,2296274
361,"Bismack Biyombo, C",San Antonio Spurs,"$2,296,274",Bismack Biyombo,2296274
362,"Drew Eubanks, F",Sacramento Kings,"$2,296,274",Drew Eubanks,2296274
363,"Doug McDermott, F",Sacramento Kings,"$2,296,274",Doug McDermott,2296274
364,"Russell Westbrook, G",Sacramento Kings,"$2,296,274",Russell Westbrook,2296274
365,"Cole Anthony, G",Milwaukee Bucks,"$2,296,274",Cole Anthony,2296274
366,"Collin Gillespie, G",Phoenix Suns,"$2,296,274",Collin Gillespie,2296274
367,"Amir Coffey, G",Phoenix Suns,"$2,296,274",Amir Coffey,2296274
368,"Kyle Lowry, G",Philadelphia 76ers,"$2,296,274",Kyle Lowry,2296274
369,"Landry Shamet, G",New York Knicks,"$2,296,274",Landry Shamet,2296274
370,"Jordan Clarkson, G",New York Knicks,"$2,296,274",Jordan Clarkson,2296274
371,"Bones Hyland, G",Minnesota Timberwolves,"$2,296,274",Bones Hyland,2296274
372,"Joe Ingles, F",Minnesota Timberwolves,"$2,296,274",Joe Ingles,2296274
373,"Thanasis Antetokounmpo, F",Milwaukee Bucks,"$2,296,274",Thanasis Antetokounmpo,2296274
374,"Nigel Hayes-Davis, F",Phoenix Suns,"$2,296,274",Nigel Hayes-Davis,2296274
375,"Jae'Sean Tate, F",Houston Rockets,"$2,296,274",Jae'Sean Tate,2296274
376,"Jeff Green, F",Houston Rockets,"$2,296,274",Jeff Green,2296274
377,"Gary Payton II, G",Golden State Warriors,"$2,296,274",Gary Payton II,2296274
378,"Javonte Green, G",Detroit Pistons,"$2,296,274",Javonte Green,2296274
379,"Bruce Brown, G",Denver Nuggets,"$2,296,274",Bruce Brown,2296274
380,"Tim Hardaway Jr., G",Denver Nuggets,"$2,296,274",Tim Hardaway Jr.,2296274
381,"Marvin Bagley III, F",Dallas Mavericks,"$2,296,274",Marvin Bagley III,2296274
382,"Thomas Bryant, C",Cleveland Cavaliers,"$2,296,274",Thomas Bryant,2296274
383,"Larry Nance Jr., F",Cleveland Cavaliers,"$2,296,274",Larry Nance Jr.,2296274
384,"Keaton Wallace, G",Atlanta Hawks,"$2,296,274",Keaton Wallace,2296274
385,"Jock Landale, C",Atlanta Hawks,"$2,296,274",Jock Landale,2296274
386,"Maxwell Lewis, F",Brooklyn Nets,"$2,271,677",Maxwell Lewis,2271677
387,"Moussa Diabate, F",Charlotte Hornets,"$2,270,735",Moussa Diabate,2270735
388,"Scotty Pippen Jr., G",Memphis Grizzlies,"$2,270,735",Scotty Pippen Jr.,2270735
389,"A.J. Lawson, G",Toronto Raptors,"$2,270,735",A.J. Lawson,2270735
390,"JD Davison, G",Houston Rockets,"$2,270,735",JD Davison,2270735
391,"Brandon Williams, G",Dallas Mavericks,"$2,270,735",Brandon Williams,2270735
392,"DeAndre Jordan, C",New Orleans Pelicans,"$2,269,880",DeAndre Jordan,2269880
393,"GG Jackson, F",Memphis Grizzlies,"$2,221,677",GG Jackson,2221677
394,"Trayce Jackson-Davis, F",Toronto Raptors,"$2,221,677",Trayce Jackson-Davis,2221677
395,"Toumani Camara, F",Portland Trail Blazers,"$2,221,677",Toumani Camara,2221677
396,"Ricky Council IV, G",Philadelphia 76ers,"$2,221,677",Ricky Council IV,2221677
