Player,Team,Age,Pos,OFF_EPM,DEF_EPM,EPM
Jalen Slawson,IND,26,F,-2.26878,-0.247564,-2.5163
Cormac Ryan,MIL,27,G,-1.31264,-1.20563,-2.5183
Lucas Williamson,MEM,27,G,-1.4018,-1.11681,-2.5186
Lachlan Olbrich,CHI,22,C,-1.80747,-0.713343,-2.5208
Noa Essengue,CHI,19,F,-1.67706,-0.855156,-2.5322
Bub Carrington,WAS,20,G,-1.12399,-1.41731,-2.5413
Yuki Kawamura,CHI,25,G,-1.1018,-1.44985,-2.5516
Duop Reath,ATL,29,C,-1.82142,-0.730745,-2.5522
Antonio Reeves,CHA,25,G,-1.58865,-0.966167,-2.5548
Lindy Waters III,SAS,28,F,-1.62233,-0.937961,-2.5603
Eric Gordon,PHI,37,G,-1.67166,-0.892348,-2.564
Terry Rozier,MIA,32,G,-1.56142,-1.01002,-2.5714
Ochai Agbaji,BKN,26,G,-2.26291,-0.308907,-2.5718
Cam Christie,LAC,20,G,-2.76764,0.186331,-2.5813
Alijah Martin,TOR,24,G,-2.05742,-0.53564,-2.5931
Colby Jones,DET,24,G,-2.58621,-0.0258094,-2.612
Justin Edwards,PHI,22,F,-1.49639,-1.1216,-2.618
Gabe Vincent,ATL,29,G,-1.73739,-0.884782,-2.6222
Joan Beringer,MIN,19,F,-0.453486,-2.1724,-2.6259
Malevy Leons,GSW,26,F,-2.0024,-0.624822,-2.6272
Tamar Bates,DEN,23,G,-1.86034,-0.766966,-2.6273
Hunter Tyson,DEN,25,F,-1.21523,-1.41562,-2.6309
Cody Martin,IND,30,F,-3.43671,0.793446,-2.6433
Sidy Cissoko,POR,22,G,-2.98292,0.339015,-2.6439
Grant Nelson,BKN,24,F,-3.04115,0.387981,-2.6532
Drew Peterson,CHA,26,F,-2.05611,-0.598774,-2.6549
KJ Simpson,DEN,23,G,-2.63838,-0.0549473,-2.6933
Jae'Sean Tate,HOU,30,F,-2.48498,-0.208792,-2.6938
Kennedy Chandler,UTA,23,G,-1.40925,-1.28825,-2.6975
Jevon Carter,ORL,30,G,-1.87338,-0.83601,-2.7094
Thomas Sorber,OKC,20,C,-2.57093,-0.139742,-2.7107
Dalano Banton,BOS,26,F,-2.59291,-0.129491,-2.7224
Maxime Raynaud,SAC,23,C,-0.473755,-2.28035,-2.7541
Garrett Temple,TOR,40,G-F,-3.52578,0.762542,-2.7632
Adama Bal,MEM,22,G,-2.14926,-0.615628,-2.7649
David Roddy,DEN,25,F,-2.20777,-0.562829,-2.7706
Ousmane Dieng,MIL,23,F,-1.4587,-1.31822,-2.7769
Ben Sheppard,IND,24,G,-1.73985,-1.03751,-2.7774
Bryce McGowens,NOP,23,G,-1.54008,-1.24779,-2.7879
Zaccharie Risacher,ATL,21,F,-1.68194,-1.1092,-2.7911
Miles Kelly,DAL,23,G,-1.86885,-0.923674,-2.7925
Andersson Garcia,UTA,25,F,-2.62296,-0.171601,-2.7946
Julian Reese,WAS,22,F,-1.71159,-1.08496,-2.7965
Trevon Scott,BKN,29,F,-2.30782,-0.496381,-2.8042
Kadary Richmond,WAS,24,G,-2.72894,-0.0767242,-2.8057
Jase Richardson,ORL,20,G,-1.99152,-0.824383,-2.8159
John Tonje,BOS,25,G,-2.09009,-0.731865,-2.822
Kyle Lowry,PHI,40,G,-2.38892,-0.444054,-2.833
Nate Williams,GSW,27,G,-1.64934,-1.18599,-2.8353
Tyrese Martin,PHI,27,F,-2.04615,-0.808833,-2.855
Cole Anthony,PHX,26,G,-2.17003,-0.685153,-2.8552
DeAndre Jordan,NOP,37,C,-2.32766,-0.539012,-2.8667
Kyle Kuzma,MIL,30,F,-1.81699,-1.05304,-2.87
Colin Castleton,ORL,26,C,-2.41519,-0.461469,-2.8767
Chris Livingston,CLE,22,F,-2.71992,-0.15701,-2.8769
Larry Nance Jr.,CLE,33,F-C,-2.31667,-0.567006,-2.8837
Moussa Cisse,DAL,23,C,-2.31936,-0.575097,-2.8945
Jordan McLaughlin,SAS,30,G,-2.10163,-0.795459,-2.8971
Hayden Gray,UTA,23,G,-2.23534,-0.718596,-2.9539
Pacome Dadiet,NYK,20,F,-1.69206,-1.27307,-2.9651
Nikola Djurisic,ATL,22,G,-2.42165,-0.552692,-2.9743
Max Shulga,BOS,23,G,-2.28499,-0.71133,-2.9963
Jayson Kent,POR,24,F,-2.46321,-0.540409,-3.0036
Kobe Brown,IND,26,F,-1.46105,-1.54388,-3.0049
N'Faly Dante,ATL,24,C,-2.86985,-0.167107,-3.037
Jett Howard,ORL,22,G,-1.6464,-1.393,-3.0394
Xavier Tillman,CHA,27,F,-3.71222,0.66726,-3.045
Kyle Mangas,SAS,27,G,-2.37088,-0.67562,-3.0465
Mo Bamba,UTA,28,C,-2.11808,-0.929001,-3.0471
Zeke Nnaji,DEN,25,F-C,-2.85358,-0.210187,-3.0638
Stanley Umude,SAS,27,G,-2.76843,-0.299024,-3.0675
Eli John Ndiaye,ATL,21,F,-2.45003,-0.648194,-3.0982
Kevin McCullar Jr.,NYK,25,G,-2.38062,-0.722641,-3.1033
Alex Toohey,GSW,22,F,-2.75547,-0.349563,-3.105
Charles Bassey,GSW,25,C-F,-1.6228,-1.48626,-3.1091
Derik Queen,NOP,21,C,-1.62036,-1.49177,-3.1121
Yanic Konan Niederhauser,LAC,23,C,-2.24096,-0.87774,-3.1187
Luke Travers,CLE,24,F,-1.91735,-1.20801,-3.1254
Julian Phillips,MIN,22,F,-2.3638,-0.764001,-3.1278
Caleb Martin,DAL,30,F,-3.72614,0.596511,-3.1296
Malik Williams,ATL,27,C,-2.60317,-0.532927,-3.1361
Jericho Sims,MIL,27,C,-1.00318,-2.13784,-3.141
Tony Bradley,ATL,28,C-F,-2.69217,-0.453538,-3.1457
Patrick Baldwin Jr.,SAC,23,F,-2.49846,-0.647484,-3.1459
Gabe McGlothan,IND,27,F,-2.62292,-0.526159,-3.1491
Norchad Omier,LAC,24,F,-1.97618,-1.17332,-3.1495
Javonte Cooke,POR,26,G,-2.26143,-0.910969,-3.1724
Jacob Toppin,ATL,26,F,-2.1809,-0.993319,-3.1742
Will Riley,WAS,20,F,-0.805904,-2.38313,-3.189
Amir Coffey,PHX,28,G-F,-2.4819,-0.708056,-3.19
Riley Minix,CLE,25,F,-1.77549,-1.41688,-3.1924
Tidjane Salaun,CHA,20,F,-3.0385,-0.15746,-3.196
Jeremiah Robinson-Earl,DAL,25,F,-1.70572,-1.49118,-3.1969
Tyus Jones,DEN,30,G,-1.53495,-1.67995,-3.2149
Dalen Terry,PHI,23,F,-3.38444,0.165892,-3.2185
Tristan Enaruna,CLE,24,F,-1.8738,-1.34904,-3.2228
Lawson Lovering,MEM,23,C,-3.39555,0.162848,-3.2327
Noah Penda,ORL,21,G-F,-2.42652,-0.811084,-3.2376
TyTy Washington Jr.,LAC,24,G,-2.4012,-0.83964,-3.2408
E.J. Liddell,BKN,25,F,-1.36283,-1.89565,-3.2585
Alex Morales,ORL,28,G,-3.05522,-0.211963,-3.2672
Jarace Walker,IND,22,F,-2.21386,-1.06667,-3.2805
Walter Clayton Jr.,MEM,23,G,-1.15152,-2.14586,-3.2974
Jeremy Sochan,NYK,23,F,-2.33185,-0.972373,-3.3042
Khaman Maluach,PHX,19,C,-3.28773,-0.0243264,-3.3121
Bruce Brown,DEN,29,G-F,-2.7073,-0.619234,-3.3265
Tre Mann,CHA,25,G,-2.2544,-1.07288,-3.3273
Jahmir Young,MIA,25,G,-2.05203,-1.27639,-3.3284
Yves Missi,NOP,22,C,-1.85172,-1.48557,-3.3373
Gary Harris,MIL,31,G,-3.23606,-0.116841,-3.3529
Doug McDermott,SAC,34,F,-1.36714,-2.00216,-3.3693
Pete Nance,MIL,26,F,-1.75452,-1.62207,-3.3766
Tyson Etienne,BKN,26,G,-1.04678,-2.33131,-3.3781
Nikola Topic,OKC,20,G,-1.5496,-1.83606,-3.3857
Christian Koloko,ATL,25,C,-3.47775,0.083301,-3.3944
Nolan Traore,BKN,20,G,-1.57851,-1.81625,-3.3948
Tyreke Key,TOR,27,G,-2.53864,-0.887436,-3.4261
Emanuel Miller,SAS,25,F,-1.86553,-1.56598,-3.4315
Trentyn Flowers,CHI,21,F,-2.24943,-1.1906,-3.44
Joe Ingles,MIN,38,F-G,-2.19067,-1.27655,-3.4672
Omer Yurtseven,GSW,27,C,-2.63942,-0.837513,-3.4769
Darius Brown,CLE,26,G,-2.70557,-0.777068,-3.4826
Andre Jackson Jr.,MIL,24,G,-2.87748,-0.610528,-3.488
Jalen Wilson,BKN,25,F,-2.00358,-1.51235,-3.5159
DaQuan Jeffries,SAC,28,G-F,-2.13954,-1.40679,-3.5463
Jeff Green,HOU,39,F,-1.86196,-1.70379,-3.5658
CJ Huntley,PHX,24,F,-2.86284,-0.708401,-3.5712
Trendon Watford,PHI,25,G-F,-2.32816,-1.2643,-3.5925
Jamison Battle,TOR,25,F,-2.25097,-1.34384,-3.5948
Ariel Hukporti,NYK,24,C,-3.42069,-0.194729,-3.6154
Isaiah Livers,PHX,27,F,-2.91181,-0.712291,-3.6241
Alondes Williams,WAS,26,G,-2.42705,-1.19839,-3.6254
Isaiah Crawford,HOU,24,F,-2.95307,-0.682038,-3.6351
Taelon Peter,IND,24,G,-2.94643,-0.699675,-3.6461
Isaac Jones,DET,25,F,-2.52198,-1.12419,-3.6462
Kam Jones,IND,24,G,-2.25,-1.40855,-3.6586
Isaiah Collier,UTA,21,G,-1.36177,-2.32763,-3.6894
Dalton Knecht,LAL,25,F,-1.46506,-2.22502,-3.6901
Amari Williams,BOS,24,F-C,-3.8704,0.166415,-3.704
Johni Broome,PHI,23,F,-2.01352,-1.69105,-3.7046
Bez Mbeng,UTA,23,G,-2.73401,-0.975384,-3.7094
Sharife Cooper,WAS,25,G,-1.61706,-2.13065,-3.7477
Isaiah Stevens,SAC,25,G,-2.72096,-1.02767,-3.7486
Jahmyl Telfort,LAC,25,F,-3.11789,-0.646793,-3.7647
Malaki Branham,CHA,23,F,-2.60545,-1.15949,-3.7649
Payton Sandfort,OKC,23,F,-2.37166,-1.3965,-3.7682
Drew Eubanks,SAC,29,F-C,-2.34629,-1.47831,-3.8246
Jonathan Mogbo,TOR,24,F,-3.79584,-0.0471249,-3.843
Toby Okani,MEM,24,F,-2.39974,-1.44729,-3.847
Olivier Sarr,CLE,27,C,-2.07739,-1.79562,-3.873
Josh Oduro,NOP,25,C,-2.82269,-1.06804,-3.8907
Dariq Whitehead,MEM,21,G-F,-2.12656,-1.77522,-3.9018
Taj Gibson,MEM,40,F,-3.58753,-0.34529,-3.9328
Wendell Moore Jr.,DET,24,G,-3.5889,-0.349829,-3.9387
Drew Timme,LAL,25,F,-2.47122,-1.47512,-3.9463
Nick Richards,CHI,28,C,-1.85361,-2.11293,-3.9665
Rocco Zikarsky,MIN,19,C,-3.20986,-0.772432,-3.9823
Trey Alexander,NOP,23,G,-2.88619,-1.11811,-4.0043
Leaky Black,WAS,26,F,-2.53722,-1.54136,-4.0786
Mason Plumlee,SAS,36,F-C,-2.37476,-1.70939,-4.0841
Maxi Kleber,LAL,34,F,-3.02989,-1.11578,-4.1457
Zyon Pullin,MIN,25,G,-2.69566,-1.499,-4.1947
Vladislav Goldin,MIA,25,C,-3.1367,-1.07129,-4.208
Blake Wesley,POR,23,G,-3.42877,-0.785976,-4.2147
Patrick Williams,CHI,24,F,-3.90039,-0.332263,-4.2327
Skal Labissiere,WAS,30,F-C,-3.18369,-1.08475,-4.2684
AJ Johnson,DAL,21,G,-3.18928,-1.15733,-4.3466
Cody Williams,UTA,21,F,-2.27275,-2.09267,-4.3654
Anthony Gill,WAS,33,F,-2.35619,-2.03576,-4.3919
Adou Thiero,LAL,22,G,-3.35968,-1.05621,-4.4159
Nick Smith Jr.,LAL,22,G,-2.03697,-2.41877,-4.4557
Drake Powell,BKN,20,G-F,-3.7351,-0.805023,-4.5401
Enrique Freeman,MIN,25,F,-3.35821,-1.22466,-4.5829
Hunter Sallis,PHI,23,G,-3.74166,-0.842665,-4.5843
Rob Dillingham,CHI,21,G,-3.87942,-0.710364,-4.5898
Dillon Jones,NYK,24,F,-3.31559,-1.30016,-4.6158
Hunter Dickinson,NOP,25,C,-3.37813,-1.24692,-4.6251
James Wiseman,IND,25,C,-3.22748,-1.40378,-4.6313
Bronny James,LAL,21,G,-2.91069,-1.72354,-4.6342
Keshon Gilbert,ATL,22,G,-4.43099,-0.218654,-4.6496
Nigel Hayes-Davis,PHX,31,F,-3.94072,-0.760409,-4.7011
Thanasis Antetokounmpo,MIL,33,F,-4.40015,-0.346542,-4.7467
Chris Mañon,LAL,24,G,-3.44022,-1.39767,-4.8379
Markelle Fultz,TOR,28,G,-4.57143,-0.275636,-4.8471
Brooks Barnhizer,OKC,24,G,-3.68376,-1.17764,-4.8614
Yang Hansen,POR,20,C,-3.30289,-1.59295,-4.8958
Ben Saraf,BKN,20,G,-3.5266,-1.38615,-4.9127
Jordan Hawkins,NOP,24,G,-2.88016,-2.0521,-4.9323
Mouhamadou Gueye,CHI,27,F,-4.22059,-0.715467,-4.9361
Harrison Ingram,SAS,23,F,-3.72182,-1.26349,-4.9853
Rayan Rupert,MEM,22,G-F,-4.00147,-1.42399,-5.4255
Jahmai Mashack,MEM,23,G,-4.0999,-1.5095,-5.6094
Trey Jemison,NYK,26,C,-4.51992,-1.79319,-6.3131
Bismack Biyombo,SAS,33,C,-4.69308,-2.08629,-6.7794
