Player,Team,Age,Pos,OFF_EPM,DEF_EPM,EPM
Jordan Goodwin,PHX,27,G,-0.766915,1.88417,1.1172
Isaiah Joe,OKC,26,G,1.04078,0.0641473,1.1049
Domantas Sabonis,SAC,30,F-C,1.59662,-0.494446,1.1022
Cooper Flagg,DAL,19,F,1.15349,-0.0663031,1.0872
Tyler Herro,MIA,26,G,1.7756,-0.700931,1.0747
Wendell Carter Jr.,ORL,27,C-F,-0.398038,1.45206,1.054
Jaden McDaniels,MIN,25,F,-0.0485579,1.0565,1.0079
Jalen Suggs,ORL,25,G,-0.807412,1.80009,0.9927
Miles McBride,NYK,25,G,0.423419,0.567405,0.9908
Sandro Mamukelashvili,TOR,27,F-C,0.873054,0.0966834,0.9697
Josh Hart,NYK,31,G,-0.0815115,1.05048,0.969
Tari Eason,HOU,25,F,-0.495305,1.46401,0.9687
Obi Toppin,IND,28,F,1.87587,-0.913204,0.9627
Jalen Smith,CHI,26,F-C,0.942021,0.000623382,0.9426
Andrew Nembhard,IND,26,G-F,1.25855,-0.32702,0.9315
Dillon Brooks,PHX,30,G-F,0.619815,0.306305,0.9261
Tre Jones,CHI,26,G,1.32172,-0.421426,0.9003
Cameron Johnson,DEN,30,F,1.28807,-0.392807,0.8953
Ivica Zubac,IND,29,C,0.681073,0.213997,0.8951
Saddiq Bey,NOP,27,G-F,1.57408,-0.698274,0.8758
Mikal Bridges,NYK,29,G-F,0.143623,0.723202,0.8668
Scotty Pippen Jr.,MEM,25,G,-0.455804,1.30752,0.8517
Jose Alvarado,NYK,28,G,-0.185661,1.01548,0.8298
Jakob Poeltl,TOR,30,C,0.189646,0.593845,0.7835
De'Anthony Melton,GSW,28,G,-0.145172,0.904188,0.759
Gary Payton II,GSW,33,G,0.0321784,0.711723,0.7439
Julius Randle,MIN,31,F-C,0.679365,0.059606,0.739
Alperen Sengun,HOU,23,C,0.975656,-0.245387,0.7303
CJ McCollum,ATL,34,G,0.987034,-0.283818,0.7032
